sym,result,pnl,equity,entry_time,exit_time,month,date,entry_hour,h4_bucket,h4_key
EURUSD,win,36953390.87664646,960788162.7928079,2025-09-08 23:00:00+00:00,2025-09-09 05:54:00+00:00,2025-09,2025-09-08,23,20,2025-09-08_20
EURUSD,win,9607881.62792808,970396044.4207361,2025-09-09 00:00:00+00:00,2025-09-09 02:54:00+00:00,2025-09,2025-09-09,0,0,2025-09-09_00
EURUSD,loss,-19407920.888414722,950988123.5323213,2025-09-09 01:00:00+00:00,2025-09-09 06:45:00+00:00,2025-09,2025-09-09,1,0,2025-09-09_00
EURUSD,loss,-19019762.470646426,931968361.061675,2025-09-09 02:00:00+00:00,2025-09-09 03:56:00+00:00,2025-09,2025-09-09,2,0,2025-09-09_00
EURUSD,win,9319683.61061675,941288044.6722918,2025-09-09 17:00:00+00:00,2025-09-10 12:30:00+00:00,2025-09,2025-09-09,17,16,2025-09-09_16
EURUSD,win,37651521.78689167,978939566.4591833,2025-09-09 23:00:00+00:00,2025-09-09 23:28:00+00:00,2025-09,2025-09-09,23,20,2025-09-09_20
EURUSD,loss,-19578791.329183668,959360775.1299996,2025-09-10 00:00:00+00:00,2025-09-10 05:11:00+00:00,2025-09,2025-09-10,0,0,2025-09-10_00
EURUSD,loss,-19187215.50259999,940173559.6273997,2025-09-10 02:00:00+00:00,2025-09-10 02:04:00+00:00,2025-09,2025-09-10,2,0,2025-09-10_00
EURUSD,win,9401735.596273998,949575295.2236737,2025-09-10 16:00:00+00:00,2025-09-11 12:31:00+00:00,2025-09,2025-09-10,16,16,2025-09-10_16
EURUSD,win,37983011.80894695,987558307.0326207,2025-09-10 18:00:00+00:00,2025-09-11 12:16:00+00:00,2025-09,2025-09-10,18,16,2025-09-10_16
EURUSD,win,9875583.070326209,997433890.1029469,2025-09-10 19:00:00+00:00,2025-09-10 23:17:00+00:00,2025-09,2025-09-10,19,16,2025-09-10_16
EURUSD,loss,-19948677.80205894,977485212.300888,2025-09-10 22:00:00+00:00,2025-09-10 23:10:00+00:00,2025-09,2025-09-10,22,20,2025-09-10_20
EURUSD,win,9774852.123008879,987260064.4238968,2025-09-11 04:00:00+00:00,2025-09-11 06:10:00+00:00,2025-09,2025-09-11,4,4,2025-09-11_04
EURUSD,win,39490402.57695587,1026750467.0008526,2025-09-11 05:00:00+00:00,2025-09-11 05:53:00+00:00,2025-09,2025-09-11,5,4,2025-09-11_04
EURUSD,win,10267504.670008525,1037017971.6708611,2025-09-11 06:00:00+00:00,2025-09-11 11:10:00+00:00,2025-09,2025-09-11,6,4,2025-09-11_04
EURUSD,loss,-20740359.433417223,1016277612.2374439,2025-09-11 19:00:00+00:00,2025-09-12 02:00:00+00:00,2025-09,2025-09-11,19,16,2025-09-11_16
EURUSD,loss,-20325552.244748883,995952059.9926951,2025-09-11 20:00:00+00:00,2025-09-12 00:16:00+00:00,2025-09,2025-09-11,20,20,2025-09-11_20
