entry_time,exit_time,dir,pnl,result,exit_type,month,pair
2025-10-24 19:00:00+00:00,2025-10-27 00:45:00+00:00,1,42.641249999999786,win,HALF+TP,2025-10,EURJPY
2025-10-27 07:00:00+00:00,2025-10-27 09:22:00+00:00,1,7.707857142855801,win,HALF+SL,2025-10,EURJPY
2025-10-27 13:00:00+00:00,2025-10-27 16:44:00+00:00,1,57.60124999999903,win,HALF+TP,2025-10,EURJPY
2025-10-27 19:00:00+00:00,2025-10-27 20:03:00+00:00,1,-8.227321428569212,loss,SL,2025-10,EURJPY
2025-10-27 21:00:00+00:00,2025-10-27 21:43:00+00:00,1,-12.7475000000004,loss,SL,2025-10,EURJPY
2025-10-27 23:00:00+00:00,2025-10-28 01:00:00+00:00,1,-15.160178571429128,loss,SL,2025-10,EURJPY
2025-10-28 07:00:00+00:00,2025-10-28 12:01:00+00:00,-1,73.92249999999478,win,HALF+TP,2025-10,EURJPY
2025-10-28 16:00:00+00:00,2025-10-28 18:41:00+00:00,1,12.396607142858329,win,HALF+SL,2025-10,EURJPY
2025-10-28 19:00:00+00:00,2025-10-29 02:53:00+00:00,1,-34.97571428571575,loss,SL,2025-10,EURJPY
2025-10-29 03:00:00+00:00,2025-10-29 08:39:00+00:00,-1,-48.217857142856246,loss,SL,2025-10,EURJPY
2025-10-29 15:00:00+00:00,2025-10-29 18:46:00+00:00,-1,17.157142857146823,win,HALF+SL,2025-10,EURJPY
2025-10-29 21:00:00+00:00,2025-10-29 21:01:00+00:00,-1,-12.278749999998695,loss,SL,2025-10,EURJPY
2025-10-30 02:00:00+00:00,2025-10-30 03:24:00+00:00,1,12.933750000004807,win,HALF+SL,2025-10,EURJPY
2025-10-30 04:00:00+00:00,2025-10-30 05:53:00+00:00,1,-28.861249999999927,loss,SL,2025-10,EURJPY
2025-10-30 14:00:00+00:00,2025-10-30 15:35:00+00:00,1,-22.312500000001023,loss,SL,2025-10,EURJPY
2025-10-30 17:00:00+00:00,2025-10-30 20:13:00+00:00,1,-40.41232142857325,loss,SL,2025-10,EURJPY
2025-10-31 00:00:00+00:00,2025-10-31 02:44:00+00:00,1,-15.636071428573928,loss,SL,2025-10,EURJPY
2025-10-31 04:00:00+00:00,2025-10-31 04:09:00+00:00,1,-13.247499999997103,loss,SL,2025-10,EURJPY
2025-10-31 12:00:00+00:00,2025-10-31 16:50:00+00:00,1,-73.88928571428437,loss,SL,2025-10,EURJPY
2025-10-31 20:00:00+00:00,2025-11-03 08:18:00+00:00,-1,-18.931607142857843,loss,SL,2025-10,EURJPY
2025-11-03 10:00:00+00:00,2025-11-03 10:41:00+00:00,-1,54.30687500000033,win,HALF+TP,2025-11,EURJPY
2025-11-03 14:00:00+00:00,2025-11-03 14:50:00+00:00,-1,-10.993392857142226,loss,SL,2025-11,EURJPY
2025-11-03 16:00:00+00:00,2025-11-03 17:00:00+00:00,-1,27.785000000002924,win,HALF+TP,2025-11,EURJPY
2025-11-03 20:00:00+00:00,2025-11-04 00:05:00+00:00,-1,9.158392857145259,win,HALF+SL,2025-11,EURJPY
2025-11-04 03:00:00+00:00,2025-11-04 04:58:00+00:00,-1,25.42937500000164,win,HALF+TP,2025-11,EURJPY
2025-11-04 05:00:00+00:00,2025-11-04 11:50:00+00:00,-1,100.02000000000066,win,HALF+TP,2025-11,EURJPY
2025-11-04 14:00:00+00:00,2025-11-04 19:00:00+00:00,-1,27.192321428572086,win,HALF+SL,2025-11,EURJPY
2025-11-04 20:00:00+00:00,2025-11-05 00:00:00+00:00,-1,-11.886249999997744,loss,SL,2025-11,EURJPY
2025-11-05 02:00:00+00:00,2025-11-05 02:06:00+00:00,-1,-18.55464285714561,loss,SL,2025-11,EURJPY
2025-11-05 03:00:00+00:00,2025-11-05 08:20:00+00:00,-1,-60.13071428571379,loss,SL,2025-11,EURJPY
2025-11-05 19:00:00+00:00,2025-11-06 06:38:00+00:00,-1,-19.25625000000082,loss,SL,2025-11,EURJPY
2025-11-06 07:00:00+00:00,2025-11-06 10:00:00+00:00,1,-16.711785714286975,loss,SL,2025-11,EURJPY
2025-11-06 12:00:00+00:00,2025-11-06 16:22:00+00:00,1,12.335892857140607,win,HALF+SL,2025-11,EURJPY
2025-11-06 20:00:00+00:00,2025-11-07 15:43:00+00:00,-1,-66.84767857142333,loss,SL,2025-11,EURJPY
2025-11-07 16:00:00+00:00,2025-11-12 06:22:00+00:00,1,204.6962499999978,win,HALF+TP,2025-11,EURJPY
2025-11-12 10:00:00+00:00,2025-11-12 12:37:00+00:00,1,9.874642857138838,win,HALF+SL,2025-11,EURJPY
2025-11-12 13:00:00+00:00,2025-11-12 18:06:00+00:00,1,33.41187500001297,win,HALF+TP,2025-11,EURJPY
2025-11-13 00:00:00+00:00,2025-11-13 11:37:00+00:00,1,32.93857142857348,win,HALF+SL,2025-11,EURJPY
2025-11-13 15:00:00+00:00,2025-11-13 16:49:00+00:00,1,-16.16035714285715,loss,SL,2025-11,EURJPY
2025-11-13 19:00:00+00:00,2025-11-14 14:37:00+00:00,1,-49.8141071428563,loss,SL,2025-11,EURJPY
2025-11-14 19:00:00+00:00,2025-11-19 12:45:00+00:00,1,162.23062499998946,win,HALF+TP,2025-11,EURJPY
2025-11-19 17:00:00+00:00,2025-11-19 17:57:00+00:00,1,-29.26714285713956,loss,SL,2025-11,EURJPY
2025-11-19 22:00:00+00:00,2025-11-20 08:00:00+00:00,1,73.68312500000798,win,HALF+TP,2025-11,EURJPY
2025-11-20 12:00:00+00:00,2025-11-20 15:50:00+00:00,1,74.60750000001042,win,HALF+TP,2025-11,EURJPY
2025-11-20 16:00:00+00:00,2025-11-20 18:04:00+00:00,1,32.26875000000007,win,HALF+SL,2025-11,EURJPY
2025-11-20 22:00:00+00:00,2025-11-20 23:01:00+00:00,1,-24.171607142855578,loss,SL,2025-11,EURJPY
2025-11-21 04:00:00+00:00,2025-11-21 06:01:00+00:00,1,-30.17714285714419,loss,SL,2025-11,EURJPY
2025-11-21 08:00:00+00:00,2025-11-21 12:05:00+00:00,-1,123.3300000000014,win,HALF+TP,2025-11,EURJPY
2025-11-21 14:00:00+00:00,2025-11-21 17:01:00+00:00,-1,26.094642857148642,win,HALF+SL,2025-11,EURJPY
2025-11-21 20:00:00+00:00,2025-11-24 10:37:00+00:00,-1,-67.03714285714284,loss,SL,2025-11,EURJPY
2025-11-24 11:00:00+00:00,2025-11-25 07:28:00+00:00,1,-41.60035714285755,loss,SL,2025-11,EURJPY
2025-11-25 08:00:00+00:00,2025-11-25 11:31:00+00:00,-1,39.89624999999819,win,HALF+TP,2025-11,EURJPY
2025-11-25 12:00:00+00:00,2025-11-25 14:43:00+00:00,-1,-43.822321428572764,loss,SL,2025-11,EURJPY
2025-11-25 20:00:00+00:00,2025-11-26 00:30:00+00:00,-1,9.449107142856406,win,HALF+SL,2025-11,EURJPY
2025-11-26 04:00:00+00:00,2025-11-26 04:28:00+00:00,1,-17.167321428570403,loss,SL,2025-11,EURJPY
2025-11-26 08:00:00+00:00,2025-12-01 04:40:00+00:00,1,-67.48660714285393,loss,SL,2025-11,EURJPY
2025-12-01 09:00:00+00:00,2025-12-01 10:35:00+00:00,-1,-19.025178571428114,loss,SL,2025-12,EURJPY
2025-12-01 12:00:00+00:00,2025-12-01 17:11:00+00:00,-1,18.09410714285775,win,HALF+SL,2025-12,EURJPY
2025-12-01 22:00:00+00:00,2025-12-02 02:21:00+00:00,-1,-15.489285714284051,loss,SL,2025-12,EURJPY
2025-12-02 06:00:00+00:00,2025-12-02 08:28:00+00:00,-1,-9.036785714283724,loss,SL,2025-12,EURJPY
2025-12-02 09:00:00+00:00,2025-12-02 15:00:00+00:00,1,58.32625000000178,win,HALF+TP,2025-12,EURJPY
2025-12-02 20:00:00+00:00,2025-12-03 17:55:00+00:00,1,25.664107142856096,win,HALF+SL,2025-12,EURJPY
2025-12-03 22:00:00+00:00,2025-12-04 01:06:00+00:00,1,9.763392857146869,win,HALF+SL,2025-12,EURJPY
2025-12-04 04:00:00+00:00,2025-12-04 05:25:00+00:00,-1,-20.17660714285796,loss,SL,2025-12,EURJPY
2025-12-04 08:00:00+00:00,2025-12-05 09:32:00+00:00,-1,121.26687499999491,win,HALF+TP,2025-12,EURJPY
2025-12-05 12:00:00+00:00,2025-12-09 09:54:00+00:00,1,174.60999999999274,win,HALF+TP,2025-12,EURJPY
