entry_time,exit_time,dir,ep,exit_price,result,equity,tf
2025-06-04 03:00:00+00:00,2025-06-04 08:52:00+00:00,-1,0.6002200000000001,0.6015895714285714,loss,9093855.876040412,1h
2025-06-04 07:00:00+00:00,2025-06-04 14:44:00+00:00,1,0.60029,0.6033526785714286,win,9411400.935251173,1h
2025-06-04 11:00:00+00:00,2025-06-04 12:15:00+00:00,1,0.6012099999999999,0.60208625,win,9738145.129921436,1h
2025-06-04 12:00:00+00:00,2025-06-04 14:07:00+00:00,1,0.60136,0.6026225000000003,win,10077067.017891109,1h
2025-06-04 13:00:00+00:00,2025-06-05 12:30:00+00:00,1,0.6023099999999999,0.6059058035714284,win,10429065.693524731,1h
2025-06-04 15:00:00+00:00,2025-06-05 13:21:00+00:00,1,0.60315,0.6073616964285715,win,10793465.405421197,1h
2025-06-04 23:00:00+00:00,2025-06-05 02:07:00+00:00,1,0.6030099999999999,0.6030099999999999,loss,10901400.059475409,1h
2025-06-05 07:00:00+00:00,2025-06-05 08:28:00+00:00,1,0.6031599999999999,0.6031599999999999,loss,11010414.060070163,1h
2025-06-05 09:00:00+00:00,2025-06-05 13:20:00+00:00,1,0.60407,0.6069657142857146,win,11394831.24516156,1h
2025-06-05 23:00:00+00:00,2025-06-06 02:02:00+00:00,1,0.60391,0.60391,loss,11508779.557613175,1h
2025-06-06 06:00:00+00:00,2025-06-06 12:30:00+00:00,-1,0.60421,0.6020541071428569,win,11910258.431594513,1h
2025-06-06 12:00:00+00:00,2025-06-06 12:32:00+00:00,-1,0.6030500000000001,0.6030500000000001,loss,12029361.015910458,1h
2025-06-06 15:00:00+00:00,2025-06-09 01:23:00+00:00,-1,0.60129,0.6031123214285714,loss,11787446.28703596,1h
2025-06-09 04:00:00+00:00,2025-06-09 06:50:00+00:00,1,0.60359,0.6048097321428573,win,12197610.562814191,1h
2025-06-09 05:00:00+00:00,2025-06-09 08:06:00+00:00,1,0.6036699999999999,0.6052741964285713,win,12622637.817540867,1h
2025-06-09 06:00:00+00:00,2025-06-09 08:07:00+00:00,1,0.6036999999999999,0.6053875,win,13062571.137057977,1h
